date,currency,baseRate
2015-06-18,NZD,0.614099729796119
2015-06-18,PHP,0.019622463796554
2015-06-18,PLN,0.240523378872426
2015-06-18,RON,0.222915737851092
2015-06-18,RUB,0.016384041943147
2015-06-18,SEK,0.108477518034387
2015-06-18,SGD,0.658371189676740
2015-06-18,THB,0.026305405760884
2015-06-18,TRY,0.324044069993519
2015-06-18,USD,0.886603422289210
2015-06-18,ZAR,0.071311416957855
2015-06-19,AUD,0.686341798215511
2015-06-19,BGN,0.511299723898149
2015-06-19,BRL,0.287538098798091
2015-06-19,CAD,0.721136511141559
2015-06-19,CHF,0.955931555300640
2015-06-19,CNY,0.141270872771452
2015-06-19,CZK,0.036663611365720
2015-06-19,DKK,0.134039273507138
2015-06-19,GBP,1.395283940281847
2015-06-19,HKD,0.113102980263530
2015-06-19,HRK,0.132007973281586
2015-06-19,HUF,0.003213987272610
2015-06-19,IDR,0.000065887524724
2015-06-19,ILS,0.229869204422683
2015-06-19,INR,0.013758754007237
2015-06-19,JPY,0.007145919679863
2015-06-19,KRW,0.000794773569010
2015-06-19,MXN,0.057710064635272
2015-06-19,MYR,0.236792877270252
2015-06-19,NOK,0.113237458951421
2015-06-19,NZD,0.609793280078054
2015-06-19,PHP,0.019538500615463
2015-06-19,PLN,0.239998080015360
2015-06-19,RON,0.222915737851092
2015-06-19,RUB,0.016374920172264
2015-06-19,SEK,0.108506944444444
2015-06-19,SGD,0.658501251152377
2015-06-19,THB,0.026076979242725
2015-06-19,TRY,0.322997416020672
2015-06-19,USD,0.876885303402315
2015-06-19,ZAR,0.072014979115656
2015-06-20,AUD,0.685353985333425
2015-06-20,BGN,0.511299723898149
2015-06-20,BRL,0.288475407471513
2015-06-20,CAD,0.721240533717995
2015-06-20,CHF,0.957029380801991
2015-06-20,CNY,0.142531356898518
2015-06-20,CZK,0.036749843813164
2015-06-20,DKK,0.134028494457922
2015-06-20,GBP,1.401738155312588
2015-06-20,HKD,0.114174801621282
2015-06-20,HRK,0.131987065267604
2015-06-20,HUF,0.003196420009589
2015-06-20,IDR,0.000066443990706
2015-06-20,ILS,0.231229911901404
2015-06-20,INR,0.013923892006294
2015-06-20,JPY,0.007184424168403
2015-06-20,KRW,0.000800147227090
2015-06-20,MXN,0.057753393011839
2015-06-20,MYR,0.236417797531798
2015-06-20,NOK,0.113308027873775
2015-06-20,NZD,0.610016470444702
2015-06-20,PHP,0.019651384440034
2015-06-20,PLN,0.239641496321503
2015-06-20,RON,0.222841225626741
2015-06-20,RUB,0.016286114458812
2015-06-20,SEK,0.108486932748950
2015-06-20,SGD,0.661813368630046
2015-06-20,THB,0.026270162349603
2015-06-20,TRY,0.326317506934247
2015-06-20,USD,0.885034073811842
2015-06-20,ZAR,0.072144866892721
2015-06-21,AUD,0.685353985333425
2015-06-21,BGN,0.511299723898149
2015-06-21,BRL,0.288475407471513
2015-06-21,CAD,0.721240533717995
2015-06-21,CHF,0.957029380801991
2015-06-21,CNY,0.142531356898518
2015-06-21,CZK,0.036749843813164
2015-06-21,DKK,0.134028494457922
2015-06-21,GBP,1.401738155312588
2015-06-21,HKD,0.114174801621282
2015-06-21,HRK,0.131987065267604
2015-06-21,HUF,0.003196420009589
2015-06-21,IDR,0.000066443990706
2015-06-21,ILS,0.231229911901404
2015-06-21,INR,0.013923892006294
2015-06-21,JPY,0.007184424168403
2015-06-21,KRW,0.000800147227090
2015-06-21,MXN,0.057753393011839
2015-06-21,MYR,0.236417797531798
2015-06-21,NOK,0.113308027873775
2015-06-21,NZD,0.610016470444702
2015-06-21,PHP,0.019651384440034
2015-06-21,PLN,0.239641496321503
2015-06-21,RON,0.222841225626741
2015-06-21,RUB,0.016286114458812
2015-06-21,SEK,0.108486932748950
2015-06-21,SGD,0.661813368630046
2015-06-21,THB,0.026270162349603
2015-06-21,TRY,0.326317506934247
2015-06-21,USD,0.885034073811842
2015-06-21,ZAR,0.072144866892721
2015-06-22,AUD,0.685353985333425
2015-06-22,BGN,0.511299723898149
2015-06-22,BRL,0.288475407471513
2015-06-22,CAD,0.721240533717995
2015-06-22,CHF,0.957029380801991
2015-06-22,CNY,0.142531356898518
2015-06-22,CZK,0.036749843813164
2015-06-22,DKK,0.134028494457922
2015-06-22,GBP,1.401738155312588
