ID,transactionDateTime,amount,channelUID,txCurrency,playerID,txType
21659488,"42814,01147478",200,ANDROID,SEK,116053877,DEPOSIT
21659708,"42814,018225509",200,ANDROID,SEK,116053877,DEPOSIT
21659988,"42814,028593773",200,ANDROID,SEK,116053877,DEPOSIT
21660145,"42814,034802234",200,ANDROID,SEK,116053877,DEPOSIT
21660287,"42814,040384005",200,ANDROID,SEK,116053877,DEPOSIT
21660481,"42814,048059039",200,ANDROID,SEK,116053877,DEPOSIT
21660754,"42814,060801389",125,IPHONE,SEK,116047714,DEPOSIT
21661382,"42814,094987326",100,IPAD,SEK,116008056,DEPOSIT
21661680,"42814,109683449",600,ANDROID,SEK,116081524,DEPOSIT
21661740,"42814,112336227",500,ANDROID,SEK,116081524,DEPOSIT
21661758,"42814,113421227",400,ANDROID,SEK,116081524,DEPOSIT
21663867,"42814,233572222",180,IPHONE,SEK,116099685,DEPOSIT
21664296,"42814,250328924",100,DESKTOP,SEK,116018788,DEPOSIT
21664446,"42814,25621412",500,IPHONE,SEK,116025700,DEPOSIT
21664772,"42814,266635289",200,IPHONE,SEK,116015483,DEPOSIT
21664835,"42814,268312778",500,IPHONE,SEK,116025700,DEPOSIT
21664893,"42814,269737396",200,IPHONE,SEK,116068965,DEPOSIT
21664981,"42814,272159086",100,IPHONE,SEK,116068965,DEPOSIT
21664997,"42814,272347593",200,IPHONE,SEK,116025700,DEPOSIT
21664999,"42814,272408113",300,IPHONE,SEK,116053618,DEPOSIT
21665006,"42814,272719931",200,IPHONE,SEK,116068965,DEPOSIT
21665093,"42814,275514132",200,IPHONE,SEK,116068965,DEPOSIT
21665094,"42814,275516979",300,IPHONE,SEK,116025700,DEPOSIT
21665142,"42814,277448484",200,IPHONE,SEK,116025700,DEPOSIT
21665231,"42814,280068206",200,IPHONE,SEK,116053618,DEPOSIT
