BetID,Date,transactionDateTime,realAmount,bonusAmount,channelUID,txCurrency,playerID,gameID,txType
7183829,2017-03-20,"42814,003893171",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183829,2017-03-20,"42814,003900312",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183830,2017-03-20,"42814,003957859",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183830,2017-03-20,"42814,00396478",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183831,2017-03-20,"42814,004017859",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183831,2017-03-20,"42814,004024965",5,0,DESKTOP,SEK,116053877,2466,RESULT
7183832,2017-03-20,"42814,004156887",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183832,2017-03-20,"42814,004163785",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183833,2017-03-20,"42814,004217905",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183833,2017-03-20,"42814,004225208","7,5",0,DESKTOP,SEK,116053877,2466,RESULT
7183836,2017-03-20,"42814,004293657",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183836,2017-03-20,"42814,004300984",5,0,DESKTOP,SEK,116053877,2466,RESULT
7183838,2017-03-20,"42814,004361493",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183838,2017-03-20,"42814,004368738",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183840,2017-03-20,"42814,004428727",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183840,2017-03-20,"42814,004435972",10,0,DESKTOP,SEK,116053877,2466,RESULT
7183843,2017-03-20,"42814,004505266",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183843,2017-03-20,"42814,004513113",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183845,2017-03-20,"42814,004571447",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183845,2017-03-20,"42814,004578808",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183847,2017-03-20,"42814,004633368",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183847,2017-03-20,"42814,00464088",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183851,2017-03-20,"42814,004788831",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183851,2017-03-20,"42814,004795914",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183853,2017-03-20,"42814,004851481",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183853,2017-03-20,"42814,004858449",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183855,2017-03-20,"42814,004913414",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183855,2017-03-20,"42814,004920475",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183857,2017-03-20,"42814,004975312",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183857,2017-03-20,"42814,004982384",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183859,2017-03-20,"42814,005033924",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183859,2017-03-20,"42814,005041076",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183863,2017-03-20,"42814,005184792",0,0,DESKTOP,SEK,116053877,2466,WAGER
7183863,2017-03-20,"42814,005189248",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183865,2017-03-20,"42814,005261736",0,0,DESKTOP,SEK,116053877,2466,WAGER
7183865,2017-03-20,"42814,005266574",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183868,2017-03-20,"42814,005359977",0,0,DESKTOP,SEK,116053877,2466,WAGER
7183868,2017-03-20,"42814,005364213",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183874,2017-03-20,"42814,005490428",0,0,DESKTOP,SEK,116053877,2466,WAGER
7183874,2017-03-20,"42814,005494688",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183877,2017-03-20,"42814,005680266",0,0,DESKTOP,SEK,116053877,2466,WAGER
7183877,2017-03-20,"42814,00568485",150,0,DESKTOP,SEK,116053877,2466,RESULT
7183883,2017-03-20,"42814,005834005",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183883,2017-03-20,"42814,005840914",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183886,2017-03-20,"42814,005892755",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183886,2017-03-20,"42814,005899769",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183891,2017-03-20,"42814,00601515",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183891,2017-03-20,"42814,0060225",25,0,DESKTOP,SEK,116053877,2466,RESULT
7183895,2017-03-20,"42814,006092014",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183895,2017-03-20,"42814,006099421","2,5",0,DESKTOP,SEK,116053877,2466,RESULT
7183898,2017-03-20,"42814,006157766",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183898,2017-03-20,"42814,006164757",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183901,2017-03-20,"42814,006215417",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183901,2017-03-20,"42814,006222917",5,0,DESKTOP,SEK,116053877,2466,RESULT
7183903,2017-03-20,"42814,006284931",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183903,2017-03-20,"42814,006292106","2,5",0,DESKTOP,SEK,116053877,2466,RESULT
7183906,2017-03-20,"42814,006349722",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183906,2017-03-20,"42814,006356968",25,0,DESKTOP,SEK,116053877,2466,RESULT
7183909,2017-03-20,"42814,006414491",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183909,2017-03-20,"42814,006422546",5,0,DESKTOP,SEK,116053877,2466,RESULT
7183912,2017-03-20,"42814,006473484",10,0,DESKTOP,SEK,116053877,2466,WAGER
7183912,2017-03-20,"42814,006480637",0,0,DESKTOP,SEK,116053877,2466,RESULT
7183915,2017-03-20,"42814,006532153",10,0,DESKTOP,SEK,116053877,2466,WAGER
